Count_Vert;Count_edge;density;degree_assort;estr_index;max_clique
296.0;167.0;0.003825011452130096;0.3921378306236352;490.8158265621542;2.0
297.0;167.0;0.0037992537992537993;0.4458792933369198;490.7475874184891;2.0
299.0;168.0;0.0037709591254966217;0.4451219512195121;494.5245222150372;2.0
301.0;169.0;0.003743078626799557;0.44576185671039364;497.6106834846677;2.0
292.0;166.0;0.003907169420514993;0.4876938507831181;486.91849363044804;2.0
297.0;166.0;0.0037765037765037767;0.4377002654948268;488.8491939348427;2.0
290.0;160.0;0.003818160124090204;0.36127744510978055;473.25839619787973;2.0
293.0;164.0;0.0038337463182009446;0.3921637839745852;482.48336062620393;2.0
295.0;164.0;0.0037818517237403434;0.41218637992831475;484.0146127835628;2.0
300.0;169.0;0.0037681159420289855;0.4067201604814436;496.30653645525433;2.0
288.0;162.0;0.0039198606271777;0.4237034263246575;475.665139442372;2.0
290.0;163.0;0.0038897506264168953;0.39410835424217056;478.7316430451159;2.0
295.0;166.0;0.003827971866712787;0.4438144329896905;487.90332307741676;2.0
291.0;165.0;0.0039104159260575895;0.4611805045309822;484.3541183227548;2.0
297.0;165.0;0.0037537537537537537;0.3672247684968675;486.43883114176805;2.0
294.0;165.0;0.0038308838893919344;0.3955490429526519;484.90396558437686;2.0
288.0;160.0;0.0038714672861014324;0.3591246580695587;472.28425205182214;2.0
296.0;163.0;0.003733394411360513;0.3231340837066987;481.7638824171871;2.0
298.0;163.0;0.003683366099473482;0.23704446673353496;482.91291025644415;2.0
298.0;168.0;0.0037963527896413803;0.4468358496627049;493.53553789322706;2.0
293.0;163.0;0.0038103698162606945;0.3932787408273947;479.82180820954267;2.0
291.0;162.0;0.0038393174546747246;0.3945454545454547;477.42642046682994;2.0
304.0;170.0;0.0036911585895431647;0.3429123603058565;500.0922102191015;2.0
294.0;166.0;0.003854101367509461;0.4329148518233832;487.0873676513731;2.0
297.0;166.0;0.0037765037765037767;0.3743718592964835;488.0759937481233;2.0
294.0;163.0;0.0037844489331568805;0.33547902585559514;480.1505089146914;2.0
299.0;167.0;0.0037485129402258085;0.3624215980365421;491.8437676639147;2.0
