Count_Vert;Count_edge;density;tranzitiv;avrg_clast;degree_assort;estr_index;max_clique
189.0;127.0;0.007148485871890127;0.1125;0.04285714285714286;0.0389422668140468;346.7695341246852;3.0
192.0;127.0;0.006926265270506108;0.12;0.042187499999999996;0.06739170849600383;348.75260834144774;3.0
192.0;128.0;0.006980802792321117;0.11392405063291139;0.042187499999999996;0.06694595726853791;350.68081170111594;3.0
193.0;129.0;0.006962435233160621;0.1125;0.04196891191709844;0.05769071138042582;352.95101754470267;3.0
186.0;126.0;0.007323452484742807;0.10975609756097561;0.043548387096774194;0.05954377725595418;343.11938026891;3.0
190.0;127.0;0.00707323865218602;0.11538461538461539;0.042631578947368416;0.10442093843233057;347.3925457637599;3.0
185.0;124.0;0.007285546415981199;0.11538461538461539;0.04378378378378378;0.03192982456140344;339.1242022774311;3.0
187.0;126.0;0.00724512678971882;0.1111111111111111;0.04331550802139037;0.094055680963131;343.95522112945446;3.0
191.0;126.0;0.006944061724993111;0.12162162162162163;0.042408376963350786;0.08918512955313489;346.4933516068057;3.0
192.0;129.0;0.007035340314136125;0.1125;0.042187499999999996;0.0730950057659892;351.92220525050755;3.0
186.0;124.0;0.007207207207207207;0.11538461538461539;0.043548387096774194;0.05198776758409836;340.1630774119078;3.0
187.0;124.0;0.0071301247771836;0.11842105263157894;0.04331550802139037;0.026178010471204147;340.726405130124;3.0
189.0;126.0;0.0070921985815602835;0.11538461538461539;0.04285714285714286;0.05084745762711824;345.30612282638526;3.0
187.0;125.0;0.007187625783451211;0.11538461538461539;0.04331550802139037;0.014383502296161295;342.19025355736005;3.0
192.0;127.0;0.006926265270506108;0.11688311688311688;0.042187499999999996;0.06767361404101038;349.2078053828667;3.0
187.0;126.0;0.00724512678971882;0.1125;0.04331550802139037;0.03477362713031414;343.6833728550546;3.0
188.0;125.0;0.007111161679371942;0.11688311688311688;0.04308510638297872;0.04934750669777878;343.02631897310533;3.0
190.0;127.0;0.00707323865218602;0.11392405063291139;0.042631578947368416;0.05231917239040162;347.585489550729;3.0
194.0;128.0;0.006837241600341862;0.11688311688311688;0.041752577319587626;0.039279459594696024;352.2662684221486;3.0
192.0;129.0;0.007035340314136125;0.10975609756097561;0.042187499999999996;0.06128719275549736;352.36804151290727;3.0
191.0;127.0;0.00699917332598512;0.11842105263157894;0.042408376963350786;-0.005682876839947367;347.88930329866514;3.0
187.0;125.0;0.007187625783451211;0.11538461538461539;0.04331550802139037;0.03604540334459729;342.2092401859293;3.0
194.0;132.0;0.007050905400352545;0.10465116279069768;0.041752577319587626;0.08304389011682985;358.421002509085;3.0
189.0;126.0;0.0070921985815602835;0.11538461538461539;0.04285714285714286;0.05084745762711824;345.30568569744884;3.0
190.0;126.0;0.007017543859649123;0.12162162162162163;0.042631578947368416;0.08326596604688803;345.4444293229091;3.0
190.0;126.0;0.007017543859649123;0.11688311688311688;0.042631578947368416;0.03167961745367533;346.0923702530346;3.0
191.0;128.0;0.007054284926977129;0.11538461538461539;0.042408376963350786;0.07658157602663707;349.4297722130982;3.0
192.0;129.0;0.007035340314136125;0.10975609756097561;0.042187499999999996;0.09257761966364814;352.3977495123019;3.0
191.0;129.0;0.007109396527969138;0.10843373493975904;0.042408376963350786;0.07946805060006469;351.5817940862582;3.0
190.0;127.0;0.00707323865218602;0.11392405063291139;0.042631578947368416;-0.0015263291783256803;347.53747193986123;3.0
189.0;127.0;0.007148485871890127;0.11538461538461539;0.043209876543209874;0.12925993143778958;346.2248069548036;3.0
190.0;127.0;0.00707323865218602;0.11842105263157894;0.042631578947368416;0.12123947051744959;346.9469340853605;3.0
187.0;124.0;0.0071301247771836;0.125;0.04331550802139037;0.10896610896610912;339.88482153503037;3.0
187.0;125.0;0.007187625783451211;0.11842105263157894;0.04331550802139037;0.04525491693717757;341.76433037614316;3.0
192.0;128.0;0.006980802792321117;0.11392405063291139;0.042187499999999996;0.05622119815668203;350.6716508203592;3.0
188.0;126.0;0.007168050972806918;0.11688311688311688;0.04308510638297872;0.0827266710787549;344.07340509988126;3.0
190.0;126.0;0.007017543859649123;0.11688311688311688;0.042631578947368416;0.07471607890017855;346.131239133186;3.0
191.0;129.0;0.007109396527969138;0.10843373493975904;0.042408376963350786;0.07946805060006469;351.5817940862583;3.0
191.0;127.0;0.00699917332598512;0.11538461538461539;0.042408376963350786;0.03324029434153846;348.371736977378;3.0
190.0;127.0;0.00707323865218602;0.11392405063291139;0.042631578947368416;0.04155007207665642;347.5763286699721;3.0
194.0;130.0;0.006944073500347204;0.1125;0.041752577319587626;0.07712532865907133;355.008366520138;3.0
190.0;125.0;0.006961849067112225;0.12;0.042631578947368416;0.02150537634408546;344.6099844762067;3.0
193.0;129.0;0.006962435233160621;0.1125;0.04196891191709844;0.046982651282476105;352.94185666394594;3.0
188.0;122.0;0.0069404937990670155;0.13636363636363635;0.04343971631205674;0.06198249349420365;337.3507183002512;3.0
190.0;127.0;0.00707323865218602;0.11392405063291139;0.042631578947368416;0.05231917239040162;347.5854895507287;3.0
191.0;125.0;0.006888950124001102;0.12857142857142856;0.042757417102966835;0.10714285714285697;344.43318410541104;3.0
190.0;124.0;0.006906154274575327;0.1323529411764706;0.04298245614035087;0.05321610365571494;341.90029086818123;3.0
193.0;130.0;0.007016407599309154;0.10843373493975904;0.04196891191709844;0.06257511417354321;354.64807310430626;3.0
191.0;127.0;0.00699917332598512;0.11538461538461539;0.042408376963350786;0.05472384335617098;348.3922840960158;3.0
188.0;125.0;0.007111161679371942;0.11688311688311688;0.04308510638297872;0.060150375939849496;343.03591698279865;3.0
185.0;123.0;0.007226792009400705;0.12162162162162163;0.04378378378378378;0.07761978963770907;337.2348677979142;3.0
193.0;129.0;0.006962435233160621;0.1125;0.04196891191709844;0.025566531086576767;352.92288218541773;3.0
188.0;127.0;0.007224940266241893;0.10975609756097561;0.04308510638297872;0.08474155069582544;346.225426973041;3.0
191.0;127.0;0.00699917332598512;0.11538461538461539;0.042408376963350786;0.04398206884885475;348.3829076271809;3.0
192.0;128.0;0.006980802792321117;0.11392405063291139;0.042187499999999996;0.05622119815668203;350.6716508203592;3.0
